Elo1,Elo2,WinAmount1,WinAmount2,LastMatches30_1,LastMatches30_2,PlayerOdds1,PlayerOdds2,Winner1,Winner2
1475.6456019071934,1628.395671107408,1,1,0,0,0.0,0.0,0,1
1469.4999293220862,1490.065033495085,1,0,0,0,0.0,0.0,1,0
1532.491063924774,1452.1102051357625,0,3,0,0,0.0,0.0,0,1
1407.8698829903394,1406.5011781320925,1,0,0,0,0.0,0.0,1,0
1457.6874568727585,1504.6978591717093,1,1,0,0,0.0,0.0,1,0
1634.699138904498,1612.9682902867908,1,0,0,0,0.0,0.0,1,0
1521.362718466517,1498.809858633878,1,3,0,0,0.0,0.0,1,0
1395.4321212495893,1446.3661339561418,1,0,0,0,0.0,0.0,1,0
1573.0563087942644,1569.229478077734,0,1,0,0,0.0,0.0,0,1
1499.6396743024272,1491.5811813965136,1,0,0,2,0.0,0.0,1,0
1717.998493591066,1652.7890135730954,0,7,0,0,0.0,0.0,0,1
1982.861573633695,1713.4896123094816,3,2,6,0,0.0,0.0,1,0
1683.1657649953097,1551.3378048933678,1,0,1,0,0.6339577386202034,0.4622834009216272,1,0
1744.3003200679111,1586.0326518620966,3,0,0,4,0.5873228960250543,0.4757513766237003,1,0
1537.9437783718429,1969.468493253276,0,1,3,6,0.5236723809342468,0.8119923614139577,0,1
1498.0422348356867,1453.4171871864892,2,0,0,0,0.0,0.0,1,0
1574.387230405964,1475.764164942865,1,3,0,0,0.0,0.0,0,1
1752.9206531012053,1614.473990401896,5,2,0,1,0.0,0.0,1,0
1506.4042479128875,1499.9794214272215,0,1,0,6,0.3176439606802902,0.51071442574608,0,1
1500.0,1422.5099689598846,0,1,0,0,0.0,0.0,0,1
1385.286454068655,1456.7246766583842,0,1,0,0,0.0,0.0,0,1
1451.3806248506353,1541.3887063051304,1,0,0,0,0.0,0.0,1,0
1684.095907685958,1834.6162060923327,1,1,0,5,0.0,0.0,0,1
1503.8859459115763,1755.0158547342537,1,2,2,5,0.4828058018166826,0.6446069212510803,0,1
1491.6525631385566,1472.2148485099258,1,1,0,0,0.0,0.0,1,0
1673.509597975661,1551.231676702194,1,3,0,0,0.0,0.0,0,1
1534.619801112367,1443.4430804274343,3,4,0,0,0.0,0.0,0,1
1499.0415928696236,1545.485025717264,1,0,0,0,0.3318699801866316,0.2778765651656452,1,0
1530.4591355920738,1521.8278673987704,0,1,0,0,0.0,0.0,0,1
1612.5391787934952,1452.1102051357625,2,1,2,0,0.6191223432066549,0.1739760367935887,1,0
1718.2221601306833,1614.473990401896,7,7,0,1,0.6208934624016096,0.53475935828877,1,0
1529.1170510357274,1640.2413865157464,2,2,1,0,0.0,0.0,0,1
1896.579412910893,1518.0843580124958,2,0,0,0,0.0,0.0,1,0
1398.4346580667016,1500.0,0,1,0,0,0.0,0.0,0,1
1784.371287890103,1755.0158547342537,2,1,0,5,0.0,0.0,1,0
1532.987851325765,1531.7907688928435,0,2,0,0,0.0,0.0,0,1
1549.093451103786,1478.3196836963273,1,0,0,0,0.0,0.0,1,0
1811.7579382738736,1969.468493253276,2,5,1,6,0.6515777400046844,0.8119923614139577,0,1
1571.4402827793913,1460.3893669190047,2,0,0,0,0.0,0.0,1,0
1652.7890135730954,1553.6799148377474,2,1,0,0,0.0,0.0,1,0
1495.331489848674,1717.998493591066,0,2,0,0,0.0,0.0,0,1
1529.3036246109723,1678.133405381524,2,1,0,0,0.0,0.0,1,0
1498.0635491337987,1525.2744489361755,0,2,0,0,0.0,0.0,0,1
1525.2253019992072,1525.4469262937384,0,1,0,0,0.0,0.0,0,1
1755.0158547342537,1597.075656767758,3,2,5,0,0.0,0.0,1,0
1601.768877623052,1597.075656767758,1,1,3,0,0.0,0.0,0,1
1551.231676702194,1421.2230725398283,0,1,0,0,0.0,0.0,0,1
1689.341924992931,1438.0224760903525,1,0,0,0,0.0,0.0,1,0
1855.9941928784656,1749.1595263208092,1,3,7,1,0.6965543552595918,0.53475935828877,1,0
1452.196386353837,1586.0326518620966,0,1,1,4,0.4516707173758605,0.4757513766237003,0,1
1514.2905317279578,1631.759661617691,0,2,0,0,0.0,0.0,0,1
1720.0973788699766,1519.7431804131857,2,0,0,4,0.6672174357126724,0.4519351287768544,1,0
1462.5020069661832,1443.135035957722,1,1,0,0,0.0,0.0,0,1
1501.5121837246618,1491.1384787134743,1,1,0,0,0.1739760367935887,0.3176439606802902,1,0
1580.8453500231897,1461.9328808290616,2,0,0,0,0.0,0.0,1,0
1969.468493253276,1502.3916872946306,2,0,6,1,0.8119923614139577,0.3025002875546353,1,0
1530.4591355920738,1447.6684225453057,0,7,0,0,0.0,0.0,0,1
1631.5886680377116,1574.387230405964,1,1,0,0,0.0,0.0,0,1
1439.8635206154663,1499.37907863969,1,2,3,0,0.3775339942671813,0.4240474224671693,0,1
1432.9987858367235,1582.31530518225,0,1,0,0,0.0,0.0,0,1
1466.501717772437,1516.7044640316026,2,0,0,0,0.0,0.0,1,0
1603.287714739574,1749.1595263208092,1,0,1,1,0.6200728253686897,0.53475935828877,1,0
1744.3003200679111,1673.5715912837634,2,0,0,1,0.5873228960250543,0.5402776984010491,1,0
1453.2099857894173,1443.6936752428892,1,0,0,0,0.0,0.0,1,0
1650.10015830134,1881.442612599356,0,1,1,3,0.6167147843998937,0.7752734190874159,0,1
1544.9208697323006,1630.369095479494,0,1,0,1,0.0,0.0,0,1
1450.9450163945285,1473.1257515050672,1,2,0,0,0.0,0.0,0,1
1837.7866653607296,1598.7092100998302,1,0,6,1,0.8119923614139577,0.5392157153488035,1,0
