,PlayerName
0,Dosedel S.
1,Clement A.
2,Escude N.
3,Knippschild J.
4,Fromberg R.
5,Arthurs W.
6,Grosjean S.
7,Balcells J.
8,Hewitt L.
9,Tebbutt M.
10,Martin A.
11,Draper S.
12,Petrovic D.
13,Pozzi G.
14,Stoltenberg J.
15,Goldstein P.
16,Enqvist T.
17,Lisnard J.
18,Sekulov J.
19,Norman M.
20,Vinck C.
21,Henman T.
22,Kumar S.
23,Behrend T.
24,Rochus C.
25,Delgado J.
26,Spottl M.
27,Hantschk M.
28,Kroslak J.
29,Ketola T.
30,Zib T.
31,Paes L.
32,Ram A.
33,Sanguinetti D.
34,Kilderry P.
35,Tabara M.
36,Ishii Y.
37,Vinciguerra A.
38,Agenor R.
39,Jonsson F.
40,Vanek J.
41,Manta L.
42,Golmard J.
43,Pioline C.
44,Damm M.
45,Bastl G.
46,Al-Alawi S.K.
47,Caratti C.
48,Arazi H.
49,El Aynaoui Y.
50,Luxa P.
51,Kiefer N.
52,Puerta M.
53,Santoro F.
54,Diaz J.
55,Schuettler R.
56,Siemerink J.
57,Tillstrom M.
58,Vicente F.
59,Gaudio G.
60,Marin J.A.
61,Squillari F.
62,Cherkasov A.
63,Schalken S.
64,Mirnyi M.
65,Chang M.
66,Federer R.
67,Gambill J.M.
68,Sargsian S.
69,Gustafsson M.
70,Tarango J.
71,Johansson T.
72,Berasategui A.
73,Bjorkman J.
74,Rosset M.
75,Ivanisevic G.
76,Sell M.
77,Woodruff C.
78,Ferrero J.C.
79,Novak J.
80,Kuerten G.
81,Hrbaty D.
82,Costa A.
83,Koubek S.
84,Lapentti N.
85,Safin M.
86,Martin T.
87,Vacek D.
88,Spadea V.
89,Corretja A.
90,Ilie A.
91,Voinea A.
92,Ljubicic I.
93,Alami K.
94,Alonso J.
95,Black W.
96,Boutter J.
97,Dupuis A.
98,Parmar A.
99,Ferreira W.
100,Motomura G.
101,Haas T.
102,Karbacher B.
103,Kafelnikov Y.
104,Canas G.
105,Medvedev A.
106,Llodra M.
107,Black B.
108,Mamiit C.
109,Philippoussis M.
110,O'Brien A.
111,Sampras P.
112,Blanco G.
113,Sluiter R.
114,Sirianni J.
115,Srichaphan P.
116,Tieleman L.
117,Lareau S.
118,Ullyett K.
119,Stanoytchev O.
120,Woodbridge T.
121,Mantilla F.
122,Agassi A.
123,Hill M.
124,Portas A.
125,Burgsmuller L.
126,Gross O.
127,Prinosil D.
128,Pavel A.
129,Raoux G.
130,Courier J.
131,Salzenstein J.
132,Gimelstob J.
133,Blake J.
134,Gumy H.
135,Rodriguez M.
136,Liukko V.
137,Woodforde M.
138,Massu N.
139,Larsson M.
140,MacPhie B.
141,Jensen L.
142,Pretzsch A.
143,Popp A.
144,Reneberg R.
145,Sa A.
146,Dewulf F.
147,Kucera K.
148,Wessels P.
149,Rusedski G.
150,Saulnier C.
151,Zabaleta M.
152,Chela J.I.
153,Etlis G.
154,Bruguera S.
155,Viloca J.A.
156,di Pasquale A.
157,Heuberger I.
